Team,Conference,Division,latitude,longitude,Wins in 2017
Jets,AFC,East,40.812194,-74.076983,5
Dolphins,AFC,East,25.957919,-80.238842,5
Patriots,AFC,East,42.090925,-71.26435,10
Bills,AFC,East,42.773739,-78.786978,7
Steelers,AFC,North,40.446786,-80.015761,11
Ravens,AFC,North,39.277969,-76.622767,7
Browns,AFC,North,41.506022,-81.699564,0
Bengals,AFC,North,39.095442,-84.516039,5
Titans,AFC,South,36.166461,-86.771289,8
Colts,AFC,South,39.760056,-86.163806,3
Texans,AFC,South,29.684781,-95.410956,4
Jaguars,AFC,South,30.323925,-81.637356,9
Broncos,AFC,West,39.743936,-105.020097,4
Chargers,AFC,West,33.86,-118.26,7
Raiders,AFC,West,37.751411,-122.200889,6
Chiefs,AFC,West,39.048914,-94.484039,7
Giants,NFC,East,40.812194,-74.076983,2
Cowboys,NFC,East,32.747778,-97.092778,7
Eagles,NFC,East,39.900775,-75.167453,11
Redskins,NFC,East,38.907697,-76.864517,5
Vikings,NFC,North,44.973881,-93.258094,10
Bears,NFC,North,41.862306,-87.616672,4
Packers,NFC,North,44.501306,-88.062167,7
Lions,NFC,North,42.340156,-83.045808,7
Panthers,NFC,South,35.225808,-80.852861,9
Buccaneers,NFC,South,27.975967,-82.50335,4
Falcons,NFC,South,33.757614,-84.400972,8
Saints,NFC,South,29.950931,-90.081364,9
Cardinals,NFC,West,33.5277,-112.262608,6
Forty-Niners,NFC,West,37.713486,-122.386256,3
Rams,NFC,West,34.01,-118.29,9
Seahawks,NFC,West,47.595153,-122.331625,8
